Job,Tool,a,b,ns/op,memUsage
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,33688211,15293
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,34778684,15284
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,33762072,15278
 15279BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,47209322,15313
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,44430042,15327
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,44565114,15347
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,41329765,15368
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,44500583,15380
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,42929620,15396
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,42801162,15416
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,42326881,15436
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,42003697,15463
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10k-13     ,Gonomics2Worker,1000,10000,39343141,15491
 15493BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,151593295,15514
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,149146731,15528
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,155689378,15540
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,141762066,15554
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,147136337,15568
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,146599190,15582
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,144467067,15599
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,147454958,15612
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,145620372,15637
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100k-13    ,Gonomics2Worker,1000,100000,143125402,15661
 15662BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1211131125,15662
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1312905698,15664
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1322018850,15666
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1348238984,15667
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1285374672,15669
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1055692377,15670
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1277251892,15672
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1310957378,15674
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1315065756,15675
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1mi-13     ,Gonomics2Worker,1000,1000000,1286403249,15676
 15677BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,13092496774,15677
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,12746375681,15679
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,14054321730,15681
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,13233051968,15683
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,13025041921,15684
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,13035583540,15686
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,14114897733,15688
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,14301144819,15690
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,15786615172,15692
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_10mi-13    ,Gonomics2Worker,1000,10000000,14822212019,15693
 15693BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,23679177,15636
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,23252267,15587
