Job,Tool,a,b,ns/op
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,16149288
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17306988
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17665477
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17561210
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,16736197
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,18076095
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17642075
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17924775
 14574BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,35771746
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,34078651
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,31397528
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,32747554
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,63548837
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,34517764
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,32735872
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,31498970
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,29649559
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,33132767
 14706BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21627207
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,22455588
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,20988165
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,22529975
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21217464
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21957423
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,20392329
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21570740
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21009251
BenchmarkSingleThreadIntervalOverlap100_100-13                     ,Gonomics1Worker,100,100,21227613
 14457BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21647383
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21764295
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21431413
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21668690
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,20614980
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21501328
