Job,Tool,a,b,memUsage
BenchmarkSingleThreadIntervalOverlapMem10mi_10mi-13    ,Gonomics1Worker,10000000,10000000,293476
BenchmarkSingleThreadIntervalOverlapMem10mi_10mi-13    ,Gonomics1Worker,10000000,10000000,300547
BenchmarkSingleThreadIntervalOverlapMem10mi_10mi-13    ,Gonomics1Worker,10000000,10000000,307660
 309158BenchmarkBedtoolsIntervalOverlapMem10mi_10mi-13        ,Bedtools,10000000,10000000,309158
BenchmarkBedtoolsIntervalOverlapMem10mi_10mi-13        ,Bedtools,10000000,10000000,310656
BenchmarkBedtoolsIntervalOverlapMem10mi_10mi-13        ,Bedtools,10000000,10000000,312151
BenchmarkBedtoolsIntervalOverlapMem10mi_10mi-13        ,Bedtools,10000000,10000000,313645
BenchmarkBedtoolsIntervalOverlapMem10mi_10mi-13        ,Bedtools,10000000,10000000,315138
BenchmarkBedtoolsIntervalOverlapMem10mi_10mi-13        ,Bedtools,10000000,10000000,316629
BenchmarkBedtoolsIntervalOverlapMem10mi_10mi-13        ,Bedtools,10000000,10000000,318118
BenchmarkBedtoolsIntervalOverlapMem10mi_10mi-13        ,Bedtools,10000000,10000000,319606
BenchmarkBedtoolsIntervalOverlapMem10mi_10mi-13        ,Bedtools,10000000,10000000,321093
BenchmarkBedtoolsIntervalOverlapMem10mi_10mi-13        ,Bedtools,10000000,10000000,322578
 322542BenchmarkBedopsSortAMem10mi_10mi-13                    ,BedopsSortA,10000000,10000000,322542
BenchmarkBedopsSortAMem10mi_10mi-13                    ,BedopsSortA,10000000,10000000,322506
BenchmarkBedopsSortAMem10mi_10mi-13                    ,BedopsSortA,10000000,10000000,322470
BenchmarkBedopsSortAMem10mi_10mi-13                    ,BedopsSortA,10000000,10000000,322433
BenchmarkBedopsSortAMem10mi_10mi-13                    ,BedopsSortA,10000000,10000000,322398
BenchmarkBedopsSortAMem10mi_10mi-13                    ,BedopsSortA,10000000,10000000,322362
BenchmarkBedopsSortAMem10mi_10mi-13                    ,BedopsSortA,10000000,10000000,322327
BenchmarkBedopsSortAMem10mi_10mi-13                    ,BedopsSortA,10000000,10000000,322292
BenchmarkBedopsSortAMem10mi_10mi-13                    ,BedopsSortA,10000000,10000000,322259
BenchmarkBedopsSortAMem10mi_10mi-13                    ,BedopsSortA,10000000,10000000,322225
 322190BenchmarkBedopsSortBMem10mi_10mi-13                    ,BedopsSortB,10000000,10000000,322190
BenchmarkBedopsSortBMem10mi_10mi-13                    ,BedopsSortB,10000000,10000000,322155
BenchmarkBedopsSortBMem10mi_10mi-13                    ,BedopsSortB,10000000,10000000,322121
BenchmarkBedopsSortBMem10mi_10mi-13                    ,BedopsSortB,10000000,10000000,322086
BenchmarkBedopsSortBMem10mi_10mi-13                    ,BedopsSortB,10000000,10000000,322050
BenchmarkBedopsSortBMem10mi_10mi-13                    ,BedopsSortB,10000000,10000000,322015
BenchmarkBedopsSortBMem10mi_10mi-13                    ,BedopsSortB,10000000,10000000,321979
BenchmarkBedopsSortBMem10mi_10mi-13                    ,BedopsSortB,10000000,10000000,321945
BenchmarkBedopsSortBMem10mi_10mi-13                    ,BedopsSortB,10000000,10000000,321910
BenchmarkBedopsSortBMem10mi_10mi-13                    ,BedopsSortB,10000000,10000000,321878
 321732BenchmarkBedopsIntervalOverlapMem10mi_10mi-13          ,BedopsOverlap,10000000,10000000,321732
BenchmarkBedopsIntervalOverlapMem10mi_10mi-13          ,BedopsOverlap,10000000,10000000,321587
BenchmarkBedopsIntervalOverlapMem10mi_10mi-13          ,BedopsOverlap,10000000,10000000,321442
BenchmarkBedopsIntervalOverlapMem10mi_10mi-13          ,BedopsOverlap,10000000,10000000,321296
BenchmarkBedopsIntervalOverlapMem10mi_10mi-13          ,BedopsOverlap,10000000,10000000,321151
BenchmarkBedopsIntervalOverlapMem10mi_10mi-13          ,BedopsOverlap,10000000,10000000,321006
BenchmarkBedopsIntervalOverlapMem10mi_10mi-13          ,BedopsOverlap,10000000,10000000,320861
BenchmarkBedopsIntervalOverlapMem10mi_10mi-13          ,BedopsOverlap,10000000,10000000,320717
BenchmarkBedopsIntervalOverlapMem10mi_10mi-13          ,BedopsOverlap,10000000,10000000,320572
BenchmarkBedopsIntervalOverlapMem10mi_10mi-13          ,BedopsOverlap,10000000,10000000,320428
